GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,not_hispanic_or_latino_white_alone,not_hispanic_or_latino_black_or_african_american_alone,not_hispanic_or_latino_american_indian_and_alaska_native_alone,not_hispanic_or_latino_asian_alone,not_hispanic_or_latino_native_hawaiian_and_other_pacific,not_hispanic_or_latino_some_other_race_alone,not_hispanic_or_latino_two_or_more_races,hispanic__or__latino
G41006700326033,41,67,32603,3,1270,1,0,35,0,0,43,147
G41006700326034,41,67,32603,4,1942,0,0,148,0,0,250,141
G41006700326041,41,67,32604,1,363,9,0,0,0,0,0,135
G41006700326042,41,67,32604,2,747,40,13,27,0,0,11,40
G41006700326043,41,67,32604,3,241,0,11,0,0,0,0,146
G41006700326044,41,67,32604,4,827,0,0,0,0,0,0,174
G41006700326045,41,67,32604,5,1885,30,76,90,0,0,13,36
G41006700326061,41,67,32606,1,898,35,0,72,0,0,202,0
G41006700326062,41,67,32606,2,580,0,0,102,0,0,51,1384
G41006700326063,41,67,32606,3,451,0,0,0,0,0,36,57
G41006700326064,41,67,32606,4,566,0,0,4,0,0,57,323
G41006700326065,41,67,32606,5,930,0,0,13,0,0,0,190
G41006700326071,41,67,32607,1,2576,111,0,562,32,0,39,60
G41006700326081,41,67,32608,1,1587,0,0,322,0,0,20,188
G41006700326091,41,67,32609,1,1513,0,8,316,221,0,0,211
G41006700326101,41,67,32610,1,1170,17,4,274,0,0,120,23
G41006700326102,41,67,32610,2,479,22,0,30,0,0,68,187
G41006700327001,41,67,32700,1,1286,0,2,20,0,0,99,105
G41006700327002,41,67,32700,2,1612,0,47,7,0,0,64,66
G41006700327003,41,67,32700,3,1377,0,0,0,0,0,10,146
G41006700328001,41,67,32800,1,1125,22,0,0,0,0,33,60
G41006700329011,41,67,32901,1,2109,21,9,68,0,10,31,296
G41006700329012,41,67,32901,2,1066,0,60,35,0,0,39,554
G41006700329021,41,67,32902,1,678,0,0,0,0,0,0,273
G41006700329022,41,67,32902,2,1581,1,7,0,0,0,77,835
G41006700329023,41,67,32902,3,371,0,47,0,0,0,0,137
G41006700329024,41,67,32902,4,859,25,0,54,0,0,92,969
G41006700330001,41,67,33000,1,1015,0,0,57,0,0,98,37
G41006700330002,41,67,33000,2,1237,0,0,10,0,0,50,31
G41006700330003,41,67,33000,3,857,0,1,25,0,0,0,213
G41006700330004,41,67,33000,4,1230,0,0,5,0,0,20,28
G41006700331011,41,67,33101,1,2788,3,0,14,0,0,81,269
G41006700331021,41,67,33102,1,1161,0,0,19,0,0,15,242
G41006700331022,41,67,33102,2,737,0,0,2,0,0,6,304
G41006700332001,41,67,33200,1,694,0,0,0,0,0,0,708
G41006700332002,41,67,33200,2,1850,93,72,105,12,0,323,207
G41006700332003,41,67,33200,3,1423,0,0,0,0,0,128,252
G41006700333011,41,67,33301,1,2748,0,0,12,0,0,110,361
G41006700333012,41,67,33301,2,473,0,0,0,0,0,18,51
G41006700333013,41,67,33301,3,488,0,0,7,0,0,0,94
G41006700333014,41,67,33301,4,658,0,0,60,0,19,0,20
G41006700333021,41,67,33302,1,1381,0,0,0,0,0,57,137
G41006700333022,41,67,33302,2,3038,60,9,29,0,0,8,53
G41006700334001,41,67,33400,1,749,0,0,0,0,0,13,7
G41006700334002,41,67,33400,2,1438,0,32,0,0,0,73,0
G41006700335001,41,67,33500,1,740,0,0,0,0,0,12,0
G41006700335002,41,67,33500,2,2630,0,0,56,0,8,99,66
G41006700336001,41,67,33600,1,799,5,6,4,0,0,17,0
G41006700336002,41,67,33600,2,469,9,0,7,0,0,4,0
G41006700336003,41,67,33600,3,756,0,0,18,8,0,0,16
G41006909601001,41,69,960100,1,516,0,3,0,0,0,30,4
G41006909601002,41,69,960100,2,702,0,3,2,0,0,2,10
G41007100301011,41,71,30101,1,2418,0,0,32,0,0,25,87
G41007100301012,41,71,30101,2,2796,0,0,0,0,0,0,192
G41007100301021,41,71,30102,1,807,0,0,0,0,0,0,0
G41007100301022,41,71,30102,2,3058,0,2,0,0,0,153,236
G41007100301023,41,71,30102,3,2509,0,0,0,0,0,0,9
G41007100302011,41,71,30201,1,1167,5,0,59,0,0,58,13
G41007100302012,41,71,30201,2,981,55,0,29,0,0,11,0
G41007100302013,41,71,30201,3,808,0,0,0,0,11,0,55
G41007100302014,41,71,30201,4,2192,80,30,94,9,5,110,219
G41007100302021,41,71,30202,1,2115,3,0,132,0,0,190,82
G41007100302022,41,71,30202,2,568,2,0,17,0,0,51,799
G41007100302023,41,71,30202,3,1878,0,8,0,0,0,145,149
G41007100303011,41,71,30301,1,364,5,0,0,0,0,12,0
G41007100303012,41,71,30301,2,2899,0,0,0,0,10,19,620
G41007100303013,41,71,30301,3,1252,18,0,0,0,0,0,33
G41007100303014,41,71,30301,4,2596,0,19,29,0,123,148,196
G41007100303015,41,71,30301,5,733,0,0,208,0,0,0,0
G41007100303021,41,71,30302,1,882,0,0,27,0,0,15,3
G41007100303022,41,71,30302,2,1128,9,0,0,0,0,0,17
G41007100304001,41,71,30400,1,638,0,0,0,0,0,10,13
G41007100304002,41,71,30400,2,2126,0,15,0,0,0,0,146
G41007100304003,41,71,30400,3,1204,0,0,15,0,0,0,15
G41007100304004,41,71,30400,4,823,0,12,19,0,0,40,0
G41007100304005,41,71,30400,5,2161,0,9,8,0,16,56,108
G41007100305011,41,71,30501,1,1270,0,0,8,0,0,0,78
G41007100305012,41,71,30501,2,716,0,0,0,0,0,41,0
G41007100305013,41,71,30501,3,1919,0,170,0,0,0,43,255
G41007100305014,41,71,30501,4,557,266,78,44,62,0,22,337
G41007100305021,41,71,30502,1,763,25,97,0,1,0,75,103
G41007100305022,41,71,30502,2,992,0,48,0,6,0,106,0
G41007100305023,41,71,30502,3,1032,0,27,0,4,0,16,9
G41007100305024,41,71,30502,4,1135,0,27,0,0,0,15,70
G41007100306011,41,71,30601,1,502,0,0,0,0,0,0,201
G41007100306012,41,71,30601,2,1283,19,0,0,0,0,317,178
G41007100306013,41,71,30601,3,451,0,0,0,0,0,0,38
G41007100306021,41,71,30602,1,2634,7,46,157,6,6,40,320
G41007100306022,41,71,30602,2,2273,0,42,20,73,0,0,196
G41007100307011,41,71,30701,1,1925,55,15,64,0,12,111,214
G41007100307012,41,71,30701,2,3033,0,15,169,0,0,46,134
G41007100307013,41,71,30701,3,1286,0,40,0,0,0,45,0
G41007100307021,41,71,30702,1,1264,0,28,22,0,0,64,224
G41007100307022,41,71,30702,2,638,0,0,11,0,0,6,53
G41007100307023,41,71,30702,3,1695,18,11,0,0,0,61,209
G41007100307024,41,71,30702,4,1642,0,24,35,0,0,135,255
G41007100308011,41,71,30801,1,1149,0,0,22,0,0,15,263
G41007100308012,41,71,30801,2,1077,55,38,30,61,0,18,209
G41007100308013,41,71,30801,3,1225,0,0,0,0,0,17,200
G41007100308021,41,71,30802,1,1651,16,40,40,0,0,0,247
G41007100308022,41,71,30802,2,843,20,0,28,18,9,47,33
G41007100308023,41,71,30802,3,718,153,0,9,0,0,8,233
G41007100309001,41,71,30900,1,1955,0,9,32,0,0,108,451
G41007100309002,41,71,30900,2,1571,0,0,9,7,0,0,100
G41007100310001,41,71,31000,1,1406,0,7,0,0,0,91,204
G41007100310002,41,71,31000,2,2057,13,37,19,0,0,112,100
